BJDONG_NM,가격
청담동,150413.31538962448
자곡동,63469.673702726475
일원동,109569.60496083551
율현동,108494.30964467005
역삼동,71802.33105177555
압구정동,232902.18258837276
신사동,168261.65410199558
수서동,75343.18430470348
세곡동,87743.25674786043
삼성동,123421.84521122219
도곡동,140737.27280130293
대치동,135104.9543852374
논현동,99946.1280653951
개포동,96321.50378889186
